service_id,pole,categorie,prestation,prix_start,prix_business,prix_enterprise,prix_mensuel,prix_trimestriel,prix_semestriel,prix_annuel,taux_haute_saison,duree_minutes,capacite_min,capacite_max,capacite_optimale,description,conditions_annulation,privatisation,zones_geographiques,langues_disponibles,options,index_ape
CRI-CRI-010,Administration,Crisis Communication,Crisis Management,666.28,3880.0,4351.51,771.53,13500.0,25500.0,48000.0,0.27,2400,1,10,4,Gestion de crise et communication d'urgence,"{""delai_gratuit"": 72, ""frais_48h"": 0.5, ""frais_24h"": 1.0}",True,"[""La Rochelle"", ""Paris"", ""Remote""]","[""FR"", ""EN""]","[ServiceOption(option_id='OPT-1', nom_option='Media training', description_option='Option Media training', prix_ht=Decimal('750.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-2', nom_option='Communication plan', description_option='Option Communication plan', prix_ht=Decimal('1000.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-3', nom_option='Monitoring', description_option='Option Monitoring', prix_ht=Decimal('1250.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True)]",70.22Z
CRI-DIG-011,Administration,Crisis Communication,Digital Crisis Simulation,614.66,1014.66,1792.0,592.0,10800.0,20400.0,38400.0,0.27,960,1,10,4,Simulation crise digitale et training,"{""delai_gratuit"": 72, ""frais_48h"": 0.5, ""frais_24h"": 1.0}",True,"[""La Rochelle"", ""Paris"", ""Remote""]","[""FR"", ""EN""]","[ServiceOption(option_id='OPT-1', nom_option='Scénarios personnalisés', description_option='Option Scénarios personnalisés', prix_ht=Decimal('0'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-2', nom_option='Debriefing', description_option='Option Debriefing', prix_ht=Decimal('0'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-3', nom_option='Plan action', description_option='Option Plan action', prix_ht=Decimal('0'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True)]",70.22Z
CRI-SOC-012,Administration,Crisis Communication,Social Media Crisis Kit,366.63,935.15,1566.28,363.58,9450.0,17850.0,33600.0,0.27,43200,1,10,4,Kit de gestion de crise réseaux sociaux clé en main,"{""delai_gratuit"": 72, ""frais_48h"": 0.5, ""frais_24h"": 1.0}",True,"[""La Rochelle"", ""Paris"", ""Remote""]","[""FR"", ""EN""]","[ServiceOption(option_id='OPT-1', nom_option='Monitoring 24/7', description_option='Option Monitoring 24/7', prix_ht=Decimal('0'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-2', nom_option='Response Templates', description_option='Option Response Templates', prix_ht=Decimal('0'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-3', nom_option='Crisis Team', description_option='Option Crisis Team', prix_ht=Decimal('0'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True)]",70.22Z
STR-AUD-013,Administration,Stratégie Digitale,Audit Digital Complet,173.52,553.99,696.0,159.6,4050.0,7650.0,14400.0,0.27,43200,1,10,4,Analyse complète de la présence digitale avec recommandations stratégiques,"{""delai_gratuit"": 72, ""frais_48h"": 0.5, ""frais_24h"": 1.0}",True,"[""La Rochelle"", ""Paris"", ""Remote""]","[""FR"", ""EN""]","[ServiceOption(option_id='OPT-1', nom_option='Formation équipe', description_option='Option Formation équipe', prix_ht=Decimal('225.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-2', nom_option='Accompagnement personnalisé', description_option='Option Accompagnement personnalisé', prix_ht=Decimal('300.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-3', nom_option='Support prioritaire', description_option='Option Support prioritaire', prix_ht=Decimal('375.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True)]",70.22Z
STR-DIG-014,Administration,Stratégie Digitale,Digital Direction Annuelle,12960.0,26880.0,49920.0,10992.0,306000.0,576000.0,1080000.0,0.27,525600,1,10,4,Pilotage stratégique digital sur un an,"{""delai_gratuit"": 72, ""frais_48h"": 0.5, ""frais_24h"": 1.0}",True,"[""La Rochelle"", ""Paris"", ""Remote""]","[""FR"", ""EN""]","[ServiceOption(option_id='OPT-1', nom_option='Reporting mensuel', description_option='Option Reporting mensuel', prix_ht=Decimal('18000.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-2', nom_option='Ajustements trimestriels', description_option='Option Ajustements trimestriels', prix_ht=Decimal('24000.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-3', nom_option='Bilan annuel', description_option='Option Bilan annuel', prix_ht=Decimal('30000.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True)]",70.22Z
STR-PLA-015,Administration,Stratégie Digitale,Plan Stratégique Digital,6146.63,10715.29,17920.0,3835.15,102000.0,192000.0,360000.0,0.27,129600,1,10,4,Définition et mise en œuvre de la stratégie digitale sur 3 mois,"{""delai_gratuit"": 72, ""frais_48h"": 0.5, ""frais_24h"": 1.0}",True,"[""La Rochelle"", ""Paris"", ""Remote""]","[""FR"", ""EN""]","[ServiceOption(option_id='OPT-1', nom_option='Consulting mensuel', description_option='Option Consulting mensuel', prix_ht=Decimal('6000.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-2', nom_option='Reporting avancé', description_option='Option Reporting avancé', prix_ht=Decimal('8000.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-3', nom_option='Formation', description_option='Option Formation', prix_ht=Decimal('10000.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True)]",70.22Z
STR-STR-016,Administration,Stratégie Digitale,Strategic Impact Half-Day,98.8,159.2,299.2,65.72,1785.0,3360.0,6300.0,0.27,240,1,10,4,Session stratégique intensive demi-journée,"{""delai_gratuit"": 72, ""frais_48h"": 0.5, ""frais_24h"": 1.0}",True,"[""La Rochelle"", ""Paris"", ""Remote""]","[""FR"", ""EN""]","[ServiceOption(option_id='OPT-1', nom_option='Workshop Design', description_option='Option Workshop Design', prix_ht=Decimal('105.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-2', nom_option='Expert Panel', description_option='Option Expert Panel', prix_ht=Decimal('140.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-3', nom_option='Action Plan', description_option='Option Action Plan', prix_ht=Decimal('175.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True)]",70.22Z
STR-STR-017,Administration,Stratégie Digitale,Stratégie Social Media,273.52,735.15,1960.0,278.8,6750.0,12750.0,24000.0,0.27,86400,1,10,4,Développement stratégie réseaux sociaux complète,"{""delai_gratuit"": 72, ""frais_48h"": 0.5, ""frais_24h"": 1.0}",True,"[""La Rochelle"", ""Paris"", ""Remote""]","[""FR"", ""EN""]","[ServiceOption(option_id='OPT-1', nom_option='Veille concurrentielle', description_option='Option Veille concurrentielle', prix_ht=Decimal('0'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-2', nom_option='Analyse data', description_option='Option Analyse data', prix_ht=Decimal('0'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-3', nom_option='KPIs personnalisés', description_option='Option KPIs personnalisés', prix_ht=Decimal('0'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True)]",70.22Z
WEB-E-C-018,Administration,Web Development,E-commerce Platform,1014.66,1871.53,3471.53,896.0,21600.0,40800.0,76800.0,0.27,129600,1,10,4,Création plateforme e-commerce complète,"{""delai_gratuit"": 72, ""frais_48h"": 0.5, ""frais_24h"": 1.0}",True,"[""La Rochelle"", ""Paris"", ""Remote""]","[""FR"", ""EN""]","[ServiceOption(option_id='OPT-1', nom_option='Formation staff', description_option='Option Formation staff', prix_ht=Decimal('1200.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-2', nom_option='Marketing digital', description_option='Option Marketing digital', prix_ht=Decimal('1600.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-3', nom_option='Support technique', description_option='Option Support technique', prix_ht=Decimal('2000.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True)]",70.22Z
WEB-WEB-019,Administration,Web Development,Web Maintenance,1596.0,5715.29,8146.63,1366.63,38250.0,72000.0,135000.0,0.27,43200,1,10,4,Maintenance et mise à jour mensuelle du site,"{""delai_gratuit"": 72, ""frais_48h"": 0.5, ""frais_24h"": 1.0}",True,"[""La Rochelle"", ""Paris"", ""Remote""]","[""FR"", ""EN""]","[ServiceOption(option_id='OPT-1', nom_option='Évolutions fonctionnelles', description_option='Option Évolutions fonctionnelles', prix_ht=Decimal('2250.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-2', nom_option='Sécurité', description_option='Option Sécurité', prix_ht=Decimal('3000.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-3', nom_option='Backup', description_option='Option Backup', prix_ht=Decimal('3750.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True)]",70.22Z
WEB-WEB-020,Administration,Web Development,Website Creation,771.53,3880.0,4146.63,753.99,13500.0,25500.0,48000.0,0.27,86400,1,10,4,Création site web professionnel responsive,"{""delai_gratuit"": 72, ""frais_48h"": 0.5, ""frais_24h"": 1.0}",True,"[""La Rochelle"", ""Paris"", ""Remote""]","[""FR"", ""EN""]","[ServiceOption(option_id='OPT-1', nom_option='SEO Premium', description_option='Option SEO Premium', prix_ht=Decimal('750.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-2', nom_option='Maintenance 1 an', description_option='Option Maintenance 1 an', prix_ht=Decimal('1000.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-3', nom_option='Formation admin', description_option='Option Formation admin', prix_ht=Decimal('1250.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True)]",70.22Z
EXP-NFT-021,Divertissement,Experience NFT,NFT Art Curation,108.8,169.6,333.58,93.58,2160.0,4080.0,7680.0,0.27,480,1,10,4,Curation et organisation exposition NFT,"{""delai_gratuit"": 72, ""frais_48h"": 0.5, ""frais_24h"": 1.0}",True,"[""La Rochelle"", ""Paris"", ""Remote""]","[""FR"", ""EN""]","[ServiceOption(option_id='OPT-1', nom_option='Scénographie virtuelle', description_option='Option Scénographie virtuelle', prix_ht=Decimal('0'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-2', nom_option='Catalogue digital', description_option='Option Catalogue digital', prix_ht=Decimal('0'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-3', nom_option='Médiation', description_option='Option Médiation', prix_ht=Decimal('0'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True)]",70.21Z
EXP-NFT-022,Divertissement,Experience NFT,NFT Creation Workshop,75.4,235.76,335.76,47.72,1275.0,2400.0,4500.0,0.27,240,1,10,4,Formation création NFT personnalisée,"{""delai_gratuit"": 72, ""frais_48h"": 0.5, ""frais_24h"": 1.0}",True,"[""La Rochelle"", ""Paris"", ""Remote""]","[""FR"", ""EN""]","[ServiceOption(option_id='OPT-1', nom_option='Support technique', description_option='Option Support technique', prix_ht=Decimal('75.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-2', nom_option='Consulting', description_option='Option Consulting', prix_ht=Decimal('100.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-3', nom_option='Hébergement', description_option='Option Hébergement', prix_ht=Decimal('125.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True)]",70.21Z
EXP-NFT-023,Divertissement,Experience NFT,NFT Mint Session,57.15,76.63,141.47,57.15,810.0,1530.0,2880.0,0.27,120,1,10,4,Session de création et déploiement NFT,"{""delai_gratuit"": 72, ""frais_48h"": 0.5, ""frais_24h"": 1.0}",True,"[""La Rochelle"", ""Paris"", ""Remote""]","[""FR"", ""EN""]","[ServiceOption(option_id='OPT-1', nom_option='Design personnalisé', description_option='Option Design personnalisé', prix_ht=Decimal('45.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-2', nom_option='Droits', description_option='Option Droits', prix_ht=Decimal('60.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-3', nom_option='Promotion', description_option='Option Promotion', prix_ht=Decimal('75.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True)]",70.21Z
INF-INF-024,Divertissement,Influence Marketing,Influencer Campaign,535.15,696.0,1392.0,492.0,8100.0,15300.0,28800.0,0.27,4800,1,10,4,Campagne d'influence avec KPIs,"{""delai_gratuit"": 72, ""frais_48h"": 0.5, ""frais_24h"": 1.0}",True,"[""La Rochelle"", ""Paris"", ""Remote""]","[""FR"", ""EN""]","[ServiceOption(option_id='OPT-1', nom_option='Tracking KPIs', description_option='Option Tracking KPIs', prix_ht=Decimal('450.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-2', nom_option='Reporting', description_option='Option Reporting', prix_ht=Decimal('600.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-3', nom_option='Optimisation', description_option='Option Optimisation', prix_ht=Decimal('750.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True)]",70.21Z
INF-MET-025,Divertissement,Influence Marketing,Metaverse Influence Program,375.4,866.28,1566.28,378.8,9450.0,17850.0,33600.0,0.27,86400,1,10,4,Programme d'influence dans les mondes virtuels,"{""delai_gratuit"": 72, ""frais_48h"": 0.5, ""frais_24h"": 1.0}",True,"[""La Rochelle"", ""Paris"", ""Remote""]","[""FR"", ""EN""]","[ServiceOption(option_id='OPT-1', nom_option='Virtual Events', description_option='Option Virtual Events', prix_ht=Decimal('0'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-2', nom_option='Digital Assets', description_option='Option Digital Assets', prix_ht=Decimal('0'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-3', nom_option='Analytics', description_option='Option Analytics', prix_ht=Decimal('0'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True)]",70.21Z
INF-VIR-026,Divertissement,Influence Marketing,Virtual Influencer Creation,535.76,966.28,1888.0,653.99,10800.0,20400.0,38400.0,0.27,129600,1,10,4,Création et gestion d'influenceur virtuel personnalisé,"{""delai_gratuit"": 72, ""frais_48h"": 0.5, ""frais_24h"": 1.0}",True,"[""La Rochelle"", ""Paris"", ""Remote""]","[""FR"", ""EN""]","[ServiceOption(option_id='OPT-1', nom_option='Character Design', description_option='Option Character Design', prix_ht=Decimal('0'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-2', nom_option='Content Creation', description_option='Option Content Creation', prix_ht=Decimal('0'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-3', nom_option='Engagement Strategy', description_option='Option Engagement Strategy', prix_ht=Decimal('0'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True)]",70.21Z
MAR-COL-027,Divertissement,Marketing NFT,Collection NFT Entreprise,692.0,2920.0,4146.63,753.99,13500.0,25500.0,48000.0,0.27,86400,1,10,4,Création collection NFT complète pour entreprise,"{""delai_gratuit"": 72, ""frais_48h"": 0.5, ""frais_24h"": 1.0}",True,"[""La Rochelle"", ""Paris"", ""Remote""]","[""FR"", ""EN""]","[ServiceOption(option_id='OPT-1', nom_option='Smart contracts', description_option='Option Smart contracts', prix_ht=Decimal('750.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-2', nom_option='Marketplace', description_option='Option Marketplace', prix_ht=Decimal('1000.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-3', nom_option='Marketing', description_option='Option Marketing', prix_ht=Decimal('1250.00'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True)]",70.21Z
MAR-NFT-028,Divertissement,Marketing NFT,NFT Growth Hacking,296.0,688.0,1053.99,392.0,5400.0,10200.0,19200.0,0.27,43200,1,10,4,Stratégie croissance collection NFT,"{""delai_gratuit"": 72, ""frais_48h"": 0.5, ""frais_24h"": 1.0}",True,"[""La Rochelle"", ""Paris"", ""Remote""]","[""FR"", ""EN""]","[ServiceOption(option_id='OPT-1', nom_option='Social media', description_option='Option Social media', prix_ht=Decimal('0'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-2', nom_option='Influenceurs', description_option='Option Influenceurs', prix_ht=Decimal('0'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True), ServiceOption(option_id='OPT-3', nom_option='Analytics', description_option='Option Analytics', prix_ht=Decimal('0'), obligatoire=False, disponible_start=True, disponible_business=True, disponible_enterprise=True)]",70.21Z
